tweet,tokenized_sents,clean_english,negPos,pol
yleyse barn ulan FENERBAHE OK YAA,['yleyse barn ulan FENERBAHE OK YAA'],"so barn, FENERBAHE OK YAA",Positive,0.5
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
kanka bende var migros fakat transfer yaplmyor,['kanka bende var migros fakat transfer yaplmyor'],bro i have migraine but transfer is not done,Neutral,0.0
fb bayram bugn kutlu olsun,['fb bayram bugn kutlu olsun'],happy fb holiday today,Positive,0.8
Fenerbahe erek,['Fenerbahe erek'],Fenerbahe aim,Neutral,0.0
Kerem Aktrkolu FenerbaheGalatasaray derbisine ilk balayacak .,['Kerem Aktrkolu FenerbaheGalatasaray derbisine ilk balayacak .'],Kerem Aktrkolu will be the first to start the Fenerbahe-Galatasaray derby.,Positive,0.25
,[],,Neutral,0.0
Bugn yer gk Sar Lacivert,['Bugn yer gk Sar Lacivert'],Today the place is yellow navy blue,Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Sonu kupa olsun kzlar basarilar m,['Sonu kupa olsun kzlar basarilar m'],"May the end be a cup, girls, good luck",Positive,0.7
Sadettin Saran Ali Ko YDK seiminde yan yana . e,"['Sadettin Saran Ali Ko YDK seiminde yan yana .', 'e']",Sadettin Saran Ali Ko side by side in the YDK election . to,Neutral,0.0
fenerbahce galatasaray iy ms mac skoru man city liverpool iy ms mac skoru,['fenerbahce galatasaray iy ms mac skoru man city liverpool iy ms mac skoru'],fenerbahce galatasaray iy ms mac score man city liverpool iy ms mac score,Neutral,0.0
Sana olan zlemimizi alacan galibiyet gider Fenerbahem Var,['Sana olan zlemimizi alacan galibiyet gider Fenerbahem Var'],The win that will take our passion for you will go Fenerbahem Var,Positive,0.8
Fenerbahe y,['Fenerbahe y'],Fenerbahe y,Neutral,0.0
Euroleague Women Basketbolda byk bir gn . Fenerbahe Safiporta finalde baarlar . nallah sene kupa gelecek . I love this game,"['Euroleague Women Basketbolda byk bir gn .', 'Fenerbahe Safiporta finalde baarlar .', 'nallah sene kupa gelecek .', 'I love this game']",A great day in Euroleague Women's Basketball. Fenerbahe Safiporta wins in the final . I hope the trophy will come next year. I love this game,Positive,0.20000000000000004
Dorular syleyince avutmaya devam demek anlama geliyor,['Dorular syleyince avutmaya devam demek anlama geliyor'],It means to continue to console when the truth is told.,Neutral,0.0
Fenerbahe Galatasaray mana Sportoto migros Fenerium alt maraton st mevcut . WhatsApp zerinden mesaj atabilirsiniz .,"['Fenerbahe Galatasaray mana Sportoto migros Fenerium alt maraton st mevcut .', 'WhatsApp zerinden mesaj atabilirsiniz .']",Fenerbahe Galatasaray mana Sportoto migros Fenerium sub marathon st available . You can send a message on WhatsApp.,Positive,0.4
Bir rivayete Yarn Fenerbahe berabere kalrsa Karagmrk yenersekFenerbahe Gztepe ma skoru bizi ilgilendirmezKonya Gazianteple berabere kalrsa haftaya ampiyon olabiliyoruz,['Bir rivayete Yarn Fenerbahe berabere kalrsa Karagmrk yenersekFenerbahe Gztepe ma skoru bizi ilgilendirmezKonya Gazianteple berabere kalrsa haftaya ampiyon olabiliyoruz'],"According to a rumor, if Fenerbahe draws tomorrow, if we beat Karagmrk, Fenerbahe Gztepe match score is not our concern. If Konya draws with Gaziantep, we can be champions next week.",Neutral,0.0
s malarnda FENERBAHE,['s malarnda FENERBAHE'],FENERBAH,Neutral,0.0
Sper Ligde dev derbi Fenerbahe Galatasaray arlyor,['Sper Ligde dev derbi Fenerbahe Galatasaray arlyor'],Giant derby Fenerbahe Galatasaray in the Sper League is coming,Neutral,0.0
u devir olayn amayn karaborsac ipnelerin elinde patlasn biletler,['u devir olayn amayn karaborsac ipnelerin elinde patlasn biletler'],"Don't miss the event of this period, let the black market threads explode in the hands of the tickets",Negative,-0.16666666666666666
Berat A. yznden lkenin iyi hocalarndan birini kovmak zorunda kalp sessiz kalan TS sylyor bunu Otobs kurunlanan takmkumpaslarla ykmaya altklar takmdr FB niceleri Cumhurbakan zmedi zemedi Siyaseti brakn.. FenerbahegtDierleri,['Berat A. yznden lkenin iyi hocalarndan birini kovmak zorunda kalp sessiz kalan TS sylyor bunu Otobs kurunlanan takmkumpaslarla ykmaya altklar takmdr FB niceleri Cumhurbakan zmedi zemedi Siyaseti brakn.. FenerbahegtDierleri'],"Because of Berat A., he had to fire one of the country's good teachers, the heart is silent, TS says, he is the team that tried to destroy it with the bus plots.",Positive,0.16666666666666666
bilet bulduum derbiye gidemiyorum Fenerbaheden nemli eyler varm,['bilet bulduum derbiye gidemiyorum Fenerbaheden nemli eyler varm'],"I found a ticket, I can't go to the derby. There are some important things from Fenerbahe.",Positive,0.4
ET STYORUZ ADMN,['ET STYORUZ ADMN'],WE WANT MEAT ADMN,Neutral,0.0
Hangi takm iin diyorsun fenerbahe iin mi,['Hangi takm iin diyorsun fenerbahe iin mi'],For which team are you talking about fenerbahe?,Neutral,0.0
BZM N SAVAIN OSAY ABM,['BZM N SAVAIN OSAY ABM'],BZM N SAVAIN OSAY ABM,Neutral,0.0
Abilerine sor bakalm eskilerden sylesin sana Mecidiyekydeki kahvenizi Fenerbahe efsanelerini u tribnlerin dili olsa konusa futbol endstriyelleince taraftar oldu bunlar,['Abilerine sor bakalm eskilerden sylesin sana Mecidiyekydeki kahvenizi Fenerbahe efsanelerini u tribnlerin dili olsa konusa futbol endstriyelleince taraftar oldu bunlar'],"Ask your brothers, let them tell you from the old ones, your coffee in Mecidiyeky, Fenerbahe legends, if u could speak the language of the stands, they became fans of the football industry.",Positive,0.1
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
AZZZZZZALLAHHHHHHGG,['AZZZZZZALLAHHHHHHGG'],AZZZZZZALLAHHHHHHGG,Neutral,0.0
,[],,Neutral,0.0
Benim tandm Fenerbahe tm malarda puan alr son hafta malatyada son dk golyle yenilir .,['Benim tandm Fenerbahe tm malarda puan alr son hafta malatyada son dk golyle yenilir .'],"Fenerbahe, whom I know, scores points in all matches, is defeated in Malatya last week with a last-minute goal.",Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Derbi Kadkydeki Fenerbahe Galatasaray mana denir . Sonra Kadkydeki Fenerbahe Beikta mana.. Sonra . Ali Sami Yen TT arena ad neyse yeri neredeyse GSFB . nn Vodafone Park yaatlyorsa BJKFB yleyse Haydi Derbiye,"['Derbi Kadkydeki Fenerbahe Galatasaray mana denir .', 'Sonra Kadkydeki Fenerbahe Beikta mana.. Sonra .', 'Ali Sami Yen TT arena ad neyse yeri neredeyse GSFB .', 'nn Vodafone Park yaatlyorsa BJKFB yleyse Haydi Derbiye']","It is called Fenerbahe Galatasaray in Derby Kadky. Then Fenerbahe Beikta mana in Kadky.. Then . Ali Sami Yen TT arena is almost GSFB , whatever it is called . If Vodafone Park is alive, then BJKFB, let's go to Derbiye",Positive,0.1
,[],,Neutral,0.0
FENERBAHCE ANANI SIKMEYE GELDIK HAYIRLI SAHURLAR CMLETEN SELAMUN ALEYK,['FENERBAHCE ANANI SIKMEYE GELDIK HAYIRLI SAHURLAR CMLETEN SELAMUN ALEYK'],"WE CAME TO FUCK MOM FENERBAHCE, HAVE A GREAT SAHURLAR CMLETEN SELAM ALAYK",Positive,0.2
Bu arada orjinal fenerium rnleri yeri temizlik kovas,['Bu arada orjinal fenerium rnleri yeri temizlik kovas'],"By the way, original Fenium products floor cleaning bucket",Positive,0.375
Ne diyoo denyuz,['Ne diyoo denyuz'],what do we say,Neutral,0.0
Fenerbahe kadn basketbol takm kupay alsa bile btesi iyice kltlmeli .,['Fenerbahe kadn basketbol takm kupay alsa bile btesi iyice kltlmeli .'],"Even if the Fenerbahe women's basketball team wins the trophy, its budget must be reduced.",Positive,0.3
Fenerbahe Galatasaray mana locadan bilet satlk lgilenenler dm,['Fenerbahe Galatasaray mana locadan bilet satlk lgilenenler dm'],"Tickets for sale from Fenerbahe Galatasaray mana lodge, those who are interested dm",Positive,0.25
NOTICIAS GALATASARAY Cul es la ltima situacin antes del derbi Fenerbahe enGalatasaray,['NOTICIAS GALATASARAY Cul es la ltima situacin antes del derbi Fenerbahe enGalatasaray'],NOTICIAS GALATASARAY Cul es la ltima situacin antes del derby Fenerbahe enGalatasaray,Neutral,0.0
Fenerbahe ss,['Fenerbahe ss'],Fenerbahe ss,Neutral,0.0
Fetoculeri arayp kupa kaldrdnz gece mi,['Fetoculeri arayp kupa kaldrdnz gece mi'],Is it the night you called the fetocular and lifted the mug?,Neutral,0.0
TEK SESS,['TEK SESS'],ONE SOUND,Positive,0.4
aksener Ali Ko bunu biliyor kr Saraolundan ok Betepeye gidiyor.. Fenerbahe oradan ynetiyor ...,['aksener Ali Ko bunu biliyor kr Saraolundan ok Betepeye gidiyor.. Fenerbahe oradan ynetiyor ...'],Aksener Ali Ko knows this. He goes to Betepe from King's Palace. Fenerbahe manages from there.,Neutral,0.0
Dunyanin neresinde olursa olsun boyle bir kadro le kadrolu gsye sampiyonluk vermezdi Fenerbahce verir . Bu macta gun daki sevinmistm sene sonu kat fazla zldm olsun bizim olsun ezerek yenmek pek bir sey kazandirmiyor bize yaramyor gryoruz,"['Dunyanin neresinde olursa olsun boyle bir kadro le kadrolu gsye sampiyonluk vermezdi Fenerbahce verir .', 'Bu macta gun daki sevinmistm sene sonu kat fazla zldm olsun bizim olsun ezerek yenmek pek bir sey kazandirmiyor bize yaramyor gryoruz']","No matter where in the world it is, Fenerbahce would not give a championship to a permanent body with such a staff. At this match, I was happy at the end of the year, whether it's ours, it doesn't bring much gain, we see that it doesn't work for us.",Positive,0.3333333333333333
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
.yydan kalma niformalarn kartarak Trkiyede sivil elbise giymektedirler . A. Refik CAMSIZOLU stannbul Ansiklopedisi Foto ylnda Fenerbaheyi kuranlardan olan Frerler St. Joseph Mektebi Trke Hocas Enver Yetiker rencileri .,"['.yydan kalma niformalarn kartarak Trkiyede sivil elbise giymektedirler .', 'A. Refik CAMSIZOLU stannbul Ansiklopedisi Foto ylnda Fenerbaheyi kuranlardan olan Frerler St. Joseph Mektebi Trke Hocas Enver Yetiker rencileri .']",They wear civilian clothes in Turkey by disguising their uniforms from the 1st century. A. Refik CAMSIZOLU Istanbul Encyclopedia Frerler St. Students of Joseph School Trke Hocas Enver Yetiker.,Neutral,0.0
Son dk . ubuklu bakadr,"['Son dk .', 'ubuklu bakadr']",last min . ubuklu bakadr,Neutral,0.0
Bugn gnlerden,['Bugn gnlerden'],from today,Neutral,0.0
Mustafa Ert Ali Ko bakan birbirimizi ok severiz . Ben ona ok sayg duyarm grrz . Ancak aramzda Fenerbahe ilgili grev anlamnda bir konuma gemedi .,"['Mustafa Ert Ali Ko bakan birbirimizi ok severiz .', 'Ben ona ok sayg duyarm grrz .', 'Ancak aramzda Fenerbahe ilgili grev anlamnda bir konuma gemedi .']","Mustafa Ert Ali Ko minister, we love each other very well. I have a lot of respect for him, we see. However , Fenerbahe could not come to a conversation between us in terms of the related task .",Positive,0.14375
Fenerbahe marlar dinlendi Appiah pp yapld Fenerbahe formas giyildi Maa hazrz,['Fenerbahe marlar dinlendi Appiah pp yapld Fenerbahe formas giyildi Maa hazrz'],Fenerbahe mars rested Appiah pp made Fenerbahe jersey worn Salary ready,Positive,0.2
Kerem Aktrkolu Fenerbahe manda arkadalarm yalnz brakmak istemiyorum . Her trl fedakarla hazrm . Posta,"['Kerem Aktrkolu Fenerbahe manda arkadalarm yalnz brakmak istemiyorum .', 'Her trl fedakarla hazrm .', 'Posta']",I don't want to leave my friends at Kerem Acting Buffalo Fenerbahe alone . I am ready with all kinds of sacrifices. Mail,Positive,0.1
Bunu yazan ergen dedelerine sorsun Fenerbaheyi,['Bunu yazan ergen dedelerine sorsun Fenerbaheyi'],Let the teenager who wrote this ask his grandfather Fenerbaheyi,Neutral,0.0
Olmad yine olduramadk . . playoff . final elde var Kaybetmek gelenek olmu takmda . Zahui Sabally Olcay Gnlm sizden raz . Dierleri Kendinize yeni bir takm arasanz fena olmaz hani .,"['Olmad yine olduramadk .', '.', 'playoff .', 'final elde var Kaybetmek gelenek olmu takmda .', 'Zahui Sabally Olcay Gnlm sizden raz .', 'Dierleri Kendinize yeni bir takm arasanz fena olmaz hani .']","It didn't happen, we couldn't do it again. . playoffs The final is in hand. Losing has become a tradition in the team. Zahui Sabally Olcay Gnlm is pleased with you . Others It wouldn't be bad if you looked for a new team for yourself.",Negative,-0.015909090909090873
,[],,Neutral,0.0
,[],,Neutral,0.0
,[],,Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
coin EN,['coin EN'],coin EN,Neutral,0.0
Kazand seimi ben kazandm dememek iin esasen kurumun kazandn syleyerek alemi keriz zannetmek vefat eden birisinin stelik lkenin kurucusunun kendisini aday gsterdii gafletine dmek kk hayallerin byk kfrbaz gurur senin,['Kazand seimi ben kazandm dememek iin esasen kurumun kazandn syleyerek alemi keriz zannetmek vefat eden birisinin stelik lkenin kurucusunun kendisini aday gsterdii gafletine dmek kk hayallerin byk kfrbaz gurur senin'],"In order not to say that I won the election, you basically think that the institution won, and think that we are a blessing to the world.",Neutral,0.0
Fenerbahe Galatasaray Derindalga,['Fenerbahe Galatasaray Derindalga'],Fenerbahe Galatasaray Derindalga,Neutral,0.0
Ali Ko Uur Bey sizden ricam bizim kovaladmz insanlar sizin sayenizde tekrar kulbe giriyor buna azami ekilde dikkat etmelisiniz . SEN NCE BAKAN OLMAYI BR REN DE.. SAYENDE FENERBAHE YILDA EKT.. OLMAYAN AKLINLA AKIL VERME AL KO.. YOL GRND..,"['Ali Ko Uur Bey sizden ricam bizim kovaladmz insanlar sizin sayenizde tekrar kulbe giriyor buna azami ekilde dikkat etmelisiniz .', 'SEN NCE BAKAN OLMAYI BR REN DE.. SAYENDE FENERBAHE YILDA EKT.. OLMAYAN AKLINLA AKIL VERME AL KO.. YOL GRND..']","Mr. Ali Ko Uur, I request you to pay the utmost attention to the fact that the people we chased are entering the club again thanks to you. THANKS TO BEING THE MINISTER BEFORE YOU.. THANKS TO FENERBAHE YEARS, MAKING MIND WITHOUT MIND.. THE WAY HAS BEEN SEEN..",Positive,0.20000000000000004
Nefretimiz akmzdan byk .,['Nefretimiz akmzdan byk .'],Our hate is bigger than our mind.,Negative,-0.4
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Gldr beni alamay istemiyorum senden ayr yapamyorumm,['Gldr beni alamay istemiyorum senden ayr yapamyorumm'],Gldr I don't want to get me I can't be apart from you,Neutral,0.0
Fenerbahe Galatasaray arasnda oynanan son derbinin s berabere bitti .,['Fenerbahe Galatasaray arasnda oynanan son derbinin s berabere bitti .'],The last derby played between Fenerbahe and Galatasaray ended in a draw.,Neutral,0.0
Ayb iek am yaz m gelecek cimbom Kadkye nasl gelecek Cimbom Kadkye nasl gelecek e,['Ayb iek am yaz m gelecek cimbom Kadkye nasl gelecek Cimbom Kadkye nasl gelecek e'],"Ayb iek my summer will come, how will my cimbom come to Kadk, how will my cimbom come to Kadk?",Neutral,0.0
sikin,['sikin'],fuck you,Negative,-0.4
Wilson Come to we need a awesome RB,['Wilson Come to we need a awesome RB'],Wilson Come to we need an awesome RB,Positive,1.0
skor olarak,['skor olarak'],as a score,Neutral,0.0
